source	swedish_phrase	source_tag	norwegian_candidate	proposed_category	proposed_direction	review_status	clinical_reviewer	reviewed_date	review_notes
Skeppstedt 2011	icke	pren	ikke-	NEGATED_EXISTENCE	FORWARD	pending			Prefix/tokenization hazard.
Skeppstedt 2011	aldrig	pren	aldri	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	saknar	pren	mangler	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	uteslutas	pren	utelukkes	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	patienten inte	pren	pasienten ikke	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	känner sig inte	pren	føler seg ikke	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	utan några	pren	uten noen	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	kunde inte	pren	kunne ikke	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	inte kunnat	pren	ikke kunnet	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	utan tecken	pren	uten tegn	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	utan tecken	pren	uten tegn til	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	inte visar	pren	viser ikke	NEGATED_EXISTENCE	BACKWARD	pending			Word-order/scope review needed.
Skeppstedt 2011	inte visar	pren	ikke viser	NEGATED_EXISTENCE	FORWARD	pending			Word-order/scope review needed.
Skeppstedt 2011	inte kunna	pren	ikke kunne	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	inget som	pren	intet som	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	inget som	pren	ingenting som	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	fri från	pren	fri for	NEGATED_EXISTENCE	FORWARD	pending			Clinical idiom; false-friend check against "fri fra".
Skeppstedt 2011	avsaknad av	pren	fravær av	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	avsaknad av	pren	mangel på	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	vet inte	pseu	vet ikke	PSEUDO	PSEUDO	pending			
Skeppstedt 2011	inte vet	pseu	ikke vet	PSEUDO	PSEUDO	pending			
Skeppstedt 2011	kan inte uteslutas	pseu	kan ikke utelukkes	POSSIBLE_EXISTENCE	FORWARD	pending			Critical: not negation; cannot be ruled out.
Skeppstedt 2011	inte bara	pseu	ikke bare	PSEUDO	PSEUDO	pending			
Skeppstedt 2011	inte utesluta	pseu	ikke utelukke	PSEUDO	PSEUDO	pending			
Skeppstedt 2011	inte orsaka	pseu	ikke forårsake	PSEUDO	PSEUDO	pending			
Skeppstedt 2011	inte nödvändigtvis	pseu	ikke nødvendigvis	PSEUDO	PSEUDO	pending			
Skeppstedt 2011	ingen ändring	pseu	ingen endring	PSEUDO	PSEUDO	pending			False friend: Swedish ändring -> Bokmal endring.
Skeppstedt 2011	ingen förändring	pseu	ingen forandring	PSEUDO	PSEUDO	pending			False friend: Swedish förändring -> Bokmal forandring.
Tromso poster 2018	ikke tegn til	pren	ikke tegn til	NEGATED_EXISTENCE	FORWARD	pending			Visible poster example.
Tromso poster 2018	ikke- prefix	pren	ikke-	NEGATED_EXISTENCE	FORWARD	pending			Visible poster tokenization hazard.
Norwegian charting candidate	u.a.	post	u.a.	NEGATED_EXISTENCE	BACKWARD	pending			Abbreviation: uten anmerkning; scope needs review.
Norwegian charting candidate	i.a.b.	post	i.a.b.	NEGATED_EXISTENCE	BACKWARD	pending			Abbreviation: intet å bemerke; scope needs review.
